Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
BangladeshJanuary 2017,Bangladesh,January 2017,8543,2081,14637,8885,116589,356233,16173,61154,88281,161193,7263,36072,11051,7153,1998,3976,4411,5075
BangladeshFebruary 2017,Bangladesh,February 2017,9058,4852,18396,6026,113292,449344,13290,57631,88687,162900,7097,37546,8696,7300,1777,3777,3708,4903
BangladeshMarch 2017,Bangladesh,March 2017,8795,2381,17120,6508,137236,404715,16524,60693,94348,162482,5773,40894,10405,6894,1944,3797,3809,5052
BangladeshApril 2017,Bangladesh,April 2017,12005,2205,18543,6512,121386,476464,16377,58472,89133,157663,8063,55579,9837,6234,2072,4084,4051,5372
BangladeshMay 2017,Bangladesh,May 2017,9878,2217,17609,6680,142822,452535,12791,61240,96971,163163,6733,35363,8807,6209,1917,4112,3993,5018
BangladeshJune 2017,Bangladesh,June 2017,9134,7344,17254,3819,117376,425569,17091,59524,87516,158935,6574,33305,7889,6249,2041,3879,3649,4721
BangladeshJuly 2017,Bangladesh,July 2017,9775,3028,17285,5598,155280,471859,15555,59331,90586,166617,7160,38070,9485,8298,2387,4627,4865,5421
BangladeshAugust 2017,Bangladesh,August 2017,12142,3509,18027,6326,156167,491305,16317,62912,94144,168639,191338,40931,9256,7426,2112,5186,4778,5825
BangladeshSeptember 2017,Bangladesh,September 2017,9552,3558,16893,8459,164782,366437,14136,63451,95100,171899,17953,34539,8097,7510,2205,4909,4678,5671
BangladeshOctober 2017,Bangladesh,October 2017,11741,3131,19344,6389,154016,383688,14058,67466,97828,181314,6645,33381,8570,8765,2585,5450,4865,6282
BangladeshNovember 2017,Bangladesh,November 2017,9504,2532,18971,5568,164422,338648,14865,70269,97973,178031,6546,51096,8752,8285,3043,5873,5362,6425
BangladeshDecember 2017,Bangladesh,December 2017,9306,2264,15828,6074,142686,318848,15218,72199,100142,187311,294379,28076,8485,7034,2207,5320,5007,6337
Bogra DistrictJanuary 2017,Bogra District,January 2017,105,28,1562,316,3340,8644,185,1467,2793,3785,105,885,142,38,118,34,35,34
Joipurhat DistrictJanuary 2017,Joipurhat District,January 2017,15,0,90,53,976,2341,0,555,827,1135,7,187,48,10,7,10,7,4
Naogaon DistrictJanuary 2017,Naogaon District,January 2017,183,4,158,85,1637,4642,0,1087,1875,3119,171,467,86,45,7,10,18,13
Nawabganj DistrictJanuary 2017,Nawabganj District,January 2017,105,8,125,72,1257,4281,90,673,708,1659,60,770,139,149,10,108,59,66
Rajshahi DistrictJanuary 2017,Rajshahi District,January 2017,87,0,469,93,1071,3723,160,559,499,459,101,998,248,87,62,180,172,98
Natore DistrictJanuary 2017,Natore District,January 2017,66,0,195,82,2041,4054,64,723,1184,1966,112,339,112,65,13,23,15,32
Pabna DistrictJanuary 2017,Pabna District,January 2017,116,0,254,168,2557,5208,94,1016,1620,2751,8,884,112,139,16,69,48,88
